ann_id,optimizer,hidden_layer_1_nodes,hidden_layer_1_activation,hidden_layer_2_nodes,hidden_layer_2_activation
0,nadam,6,relu,,
1,nadam,12,relu,,
2,nadam,24,relu,,
3,nadam,48,relu,,
4,nadam,96,relu,,
5,rmsprop,6,relu,,
6,rmsprop,12,relu,,
7,rmsprop,24,relu,,
8,rmsprop,48,relu,,
9,rmsprop,96,relu,,
10,sgd,6,relu,,
11,sgd,12,relu,,
12,sgd,24,relu,,
13,sgd,48,relu,,
14,sgd,96,relu,,
15,nadam,6,sigmoid,,
16,nadam,12,sigmoid,,
17,nadam,24,sigmoid,,
18,nadam,48,sigmoid,,
19,nadam,96,sigmoid,,
20,rmsprop,6,sigmoid,,
21,rmsprop,12,sigmoid,,
22,rmsprop,24,sigmoid,,
23,rmsprop,48,sigmoid,,
24,rmsprop,96,sigmoid,,
25,sgd,6,sigmoid,,
26,sgd,12,sigmoid,,
27,sgd,24,sigmoid,,
28,sgd,48,sigmoid,,
29,sgd,96,sigmoid,,
30,nadam,6,relu,6,relu
31,nadam,12,relu,12,relu
32,nadam,24,relu,24,relu
33,nadam,48,relu,48,relu
34,nadam,96,relu,96,relu
35,rmsprop,6,relu,6,relu
36,rmsprop,12,relu,12,relu
37,rmsprop,24,relu,24,relu
38,rmsprop,48,relu,48,relu
39,rmsprop,96,relu,96,relu
40,sgd,6,relu,6,relu
41,sgd,12,relu,12,relu
42,sgd,24,relu,24,relu
43,sgd,48,relu,48,relu
44,sgd,96,relu,96,relu
45,nadam,6,sigmoid,6,sigmoid
46,nadam,12,sigmoid,12,sigmoid
47,nadam,24,sigmoid,24,sigmoid
48,nadam,48,sigmoid,48,sigmoid
49,nadam,96,sigmoid,96,sigmoid
50,rmsprop,6,sigmoid,6,sigmoid
51,rmsprop,12,sigmoid,12,sigmoid
52,rmsprop,24,sigmoid,24,sigmoid
53,rmsprop,48,sigmoid,48,sigmoid
54,rmsprop,96,sigmoid,96,sigmoid
55,sgd,6,sigmoid,6,sigmoid
56,sgd,12,sigmoid,12,sigmoid
57,sgd,24,sigmoid,24,sigmoid
58,sgd,48,sigmoid,48,sigmoid
59,sgd,96,sigmoid,96,sigmoid
60,nadam,6,relu,3,relu
61,nadam,12,relu,6,relu
62,nadam,24,relu,12,relu
63,nadam,48,relu,24,relu
64,nadam,96,relu,48,relu
65,rmsprop,6,relu,3,relu
66,rmsprop,12,relu,6,relu
67,rmsprop,24,relu,12,relu
68,rmsprop,48,relu,24,relu
69,rmsprop,96,relu,48,relu
70,sgd,6,relu,3,relu
71,sgd,12,relu,6,relu
72,sgd,24,relu,12,relu
73,sgd,48,relu,24,relu
74,sgd,96,relu,48,relu
75,nadam,6,sigmoid,3,sigmoid
76,nadam,12,sigmoid,6,sigmoid
77,nadam,24,sigmoid,12,sigmoid
78,nadam,48,sigmoid,24,sigmoid
79,nadam,96,sigmoid,48,sigmoid
80,rmsprop,6,sigmoid,3,sigmoid
81,rmsprop,12,sigmoid,6,sigmoid
82,rmsprop,24,sigmoid,12,sigmoid
83,rmsprop,48,sigmoid,24,sigmoid
84,rmsprop,96,sigmoid,48,sigmoid
85,sgd,6,sigmoid,3,sigmoid
86,sgd,12,sigmoid,6,sigmoid
87,sgd,24,sigmoid,12,sigmoid
88,sgd,48,sigmoid,24,sigmoid
89,sgd,96,sigmoid,48,sigmoid